year,flag
2013,R
2008,R
2007,R
2019,R
2009,R
2014,R
2010,R
2011,R
2018,R
2012,R
2017,R
2008,R
2016,R
2009,R
2012,R
2015,R
2017,R
2016,R
2020,R
2011,R
2007,F
2014,R
2009,R
2018,R
2020,R
2015,R
2016,R
2013,R
2013,R
2021,P
2008,R
2011,R
2008,R
2021,P
2013,R
2011,R
2009,R
2007,F
2019,R
2014,R
2016,R
2019,R
2008,R
2019,R
2011,R
2021,P
2010,R
2009,R
2007,F
2008,R
2016,R
2013,R
2018,R
2015,R
2014,R
2020,R
2010,R
2007,R
2018,R
2010,R
2020,R
2017,R
2010,R
2008,R
2020,R
2010,R
2016,R
2012,R
2019,R
2010,R
2010,R
2021,P
2019,R
